Metric,Source,Unintegrated,Harmony,Scanorama,scGen,scVI,scanVI
cLISI,source_6,0.95399297965439,0.957804076293963,0.954675690504318,0.957068424866882,0.963253518340571,0.972876372371028
cLISI,source_7,0.9483293192867,0.953189088603965,0.950693106542436,0.952899998258221,0.956463954108767,0.965630875990165
cLISI,source_8,0.998096136170174,0.946164190198919,0.951409874284875,0.953153217593607,0.955869940527282,0.959509190797651
cLISI,source_9,0.972897579205735,0.972501050093586,0.972255752477126,0.973138500310936,0.966160869848744,0.97385436009435
iLISI,source_10,0.000347908200286406,0.0169716379856326,0.0208120678808467,0.0109019762368042,0.167148544602848,0.438411247620371
iLISI,source_11,0.0252392608106908,0.156709435712028,0.157209142054968,0.199654157062314,0.436693376949456,0.524761741464599
iLISI,source_13,0.00155266456980869,0.00345855643843529,0.00541864495085278,0.202581275737591,0.365449717345638,0.396747486369732
iLISI,source_2,4.93432455388958e-17,0.00220549177942919,9.994249675602e-06,0.000606323449886018,0.183657511232445,0.229060994429037
iLISI,source_3,0.00185949758811207,0.0137347715324365,0.00380951887885677,0.0452909812404535,0.17006747073064,0.30058106775983
iLISI,source_4,0.00854355751746818,0.0109955876023521,0.00259468121226264,0.237747010095097,0.257344303688515,0.351257074078116
iLISI,source_5,0.00065987511473612,0.0063041403506392,0.00370608578607189,0.0220699322142893,0.181807027205956,0.335838792254903
iLISI,source_6,0.0104475522288656,0.0239383578303991,0.0115727675307754,0.00958633582417709,0.234942477429687,0.315276349352085
iLISI,source_7,0.000117579050412283,0.0207101176515921,0.00200956122899957,0.00140506109142343,0.127973499394021,0.412392814915932
iLISI,source_8,2.96059473233375e-16,2.28568060351986e-05,6.8455476072371e-05,0.000459072458037853,0.190271514494663,0.36224064579993
iLISI,source_9,0.00107873717754547,0.00315638057257644,5.55111512312578e-17,0.0943853910194793,0.221102798539113,0.242510246564864
kBET,source_2,0.00024,0.00033,6e-05,0.00261,0.00279,0.01964
kBET,source_3,0.05422,0.08248,0.10649,0.04238,0.02935,0.21118
kBET,source_4,0.01534,0.01275,0.0154,0.08201,0.003,0.07909
kBET,source_5,0.01372,0.01803,0.0236,0.05908,0.00313,0.10565
kBET,source_6,0.01536,0.01869,0.01832,0.00273,0.00632,0.10513
kBET,source_7,0.01278,0.00802,0.00048,0.03251,0.04414,0.24022
kBET,source_8,0.215,0.13462,0.03846,0.68038,0.73538,0.79885
kBET,source_9,1e-05,0.00125,0,0.00069,3e-04,0.03802
kBET,source_10,0.00692,0.0055,0.05135,0.03064,0.03756,0.39335
kBET,source_11,0.00288,0.0022,0.00011,0.03746,0.04292,0.29109
kBET,source_13,0.00112,0.00537,0.00162,0.03673,0.03968,0.24668
